"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"JG299835.1" 48.0477950411822 -6.96317516748683 2.45793055838153 -2.83294218534468 0.004612172691038 0.0374213403651296
"JG299857.1" 39.7252061141324 -6.68936449191071 2.53595363922722 -2.63781024559627 0.00834432589249279 0.0487695950309997
"JG299872.1" 36.9020059822995 -6.58084280944453 2.45210403086299 -2.68375351396836 0.0072800757355723 0.0453357720517683
"JG299970.1" 41.3265166049333 -6.74622520575044 2.50880900653355 -2.68901506180089 0.00716631856722214 0.0452018583531722
"JG300027.1" 127.747533041208 -8.37286489986432 2.3741910125689 -3.52661805875712 0.000420903466670271 0.0104138362003203
"JG300043.1" 87.7389533232985 -7.83162180343264 2.450111949798 -3.19643427071907 0.00139137523509308 0.0203144407696598
"JG300050.1" 61.1996995452112 -7.31123627118707 2.40524951685845 -3.03969971511997 0.00236814133306207 0.0267681136770414
"JG300074.1" 71.6879556687091 -7.54011524352707 2.43001825165329 -3.10290477793616 0.0019163128793183 0.0240353650064833
"JG300092.1" 63.6427958648156 -7.36817667373417 2.41401855303795 -3.05224525489317 0.00227136434612834 0.0261755482149405
"JG300093.1" 40.5870260416133 -6.71956829667864 2.45293598980791 -2.73939814353038 0.00615517838792875 0.0423831796987752
